lote_id;produto;teste;valor_medido;status;observacao
CND-301A;CONDICIONADOR_Y;DENSIDADE;0,98;Conforme;
CND-301A;CONDICIONADOR_Y;PH;4,1;Conforme;
CND-301A;CONDICIONADOR_Y;VISCO;7850,0;Conforme;
CND-302B;CONDICIONADOR_Y;DENSIDADE;0,98;Conforme;
CND-302B;CONDICIONADOR_Y;PH;5,0;Conforme;
CND-302B;CONDICIONADOR_Y;VISCO;6300,0;Conforme;
CND-303C;CONDICIONADOR_Y;DENSIDADE;1,0;Conforme;
CND-303C;CONDICIONADOR_Y;PH;4,2;Conforme;
CND-303C;CONDICIONADOR_Y;VISCO;7950,0;Conforme;
SBZ-201A;SABONETE_Z;DENSIDADE;1,06;Conforme;
SBZ-201A;SABONETE_Z;PH;9,1;Conforme;
SBZ-201A;SABONETE_Z;VISCO;1850,0;Conforme;
SBZ-202B;SABONETE_Z;DENSIDADE;1,09;NÃO CONFORME;Acima do máximo (1.08)
SBZ-202B;SABONETE_Z;PH;9,0;Conforme;
SBZ-202B;SABONETE_Z;VISCO;1300,0;Conforme;
SBZ-203C;SABONETE_Z;DENSIDADE;1,23;NÃO CONFORME;Acima do máximo (1.08)
SBZ-203C;SABONETE_Z;PH;10,2;NÃO CONFORME;Acima do máximo (10.0)
SBZ-203C;SABONETE_Z;VISCO;1950,0;Conforme;
SXT-101A;SHAMPOO_XT;DENSIDADE;1,02;Conforme;
SXT-101A;SHAMPOO_XT;PH;7,1;Conforme;
SXT-101A;SHAMPOO_XT;VISCO;4850,0;Conforme;
SXT-102B;SHAMPOO_XT;DENSIDADE;1,01;Conforme;
SXT-102B;SHAMPOO_XT;PH;7,0;Conforme;
SXT-102B;SHAMPOO_XT;VISCO;5300,0;NÃO CONFORME;Acima do máximo (5000.0)
SXT-103C;SHAMPOO_XT;DENSIDADE;1,03;Conforme;
SXT-103C;SHAMPOO_XT;PH;6,2;NÃO CONFORME;Abaixo do mínimo (6.5)
SXT-103C;SHAMPOO_XT;VISCO;4950,0;Conforme;
